Entity,Code,Day,daily_vaccinations
Bureau of Prisons,,2021-03-30,1808
Bureau of Prisons,,2021-03-31,1679
Bureau of Prisons,,2021-04-01,1757
Bureau of Prisons,,2021-04-02,1723
Bureau of Prisons,,2021-04-03,1516
Bureau of Prisons,,2021-04-04,1488
Bureau of Prisons,,2021-04-05,1488
Bureau of Prisons,,2021-04-06,1489
Bureau of Prisons,,2021-04-07,1616
Bureau of Prisons,,2021-04-08,1738
Bureau of Prisons,,2021-04-09,1730
Bureau of Prisons,,2021-04-10,2023
Bureau of Prisons,,2021-04-11,2100
Bureau of Prisons,,2021-04-12,2104
Bureau of Prisons,,2021-04-13,2108
Bureau of Prisons,,2021-04-14,2155
Bureau of Prisons,,2021-04-15,1281
Bureau of Prisons,,2021-04-16,1227
Bureau of Prisons,,2021-04-17,1007
Bureau of Prisons,,2021-04-18,917
Bureau of Prisons,,2021-04-19,913
Bureau of Prisons,,2021-04-20,903
Bureau of Prisons,,2021-04-21,826
Bureau of Prisons,,2021-04-22,1271
Bureau of Prisons,,2021-04-23,1168
Bureau of Prisons,,2021-04-24,1280
Bureau of Prisons,,2021-04-25,1315
Bureau of Prisons,,2021-04-26,1315
Bureau of Prisons,,2021-04-27,1308
Bureau of Prisons,,2021-04-28,1321
Bureau of Prisons,,2021-04-29,1514
Bureau of Prisons,,2021-04-30,1618
Bureau of Prisons,,2021-05-01,1664
Bureau of Prisons,,2021-05-02,1651
Bureau of Prisons,,2021-05-03,1651
Bureau of Prisons,,2021-05-04,1651
Bureau of Prisons,,2021-05-05,1634
Bureau of Prisons,,2021-05-06,1456
Bureau of Prisons,,2021-05-07,1431
Bureau of Prisons,,2021-05-08,1093
Bureau of Prisons,,2021-05-09,1382
Bureau of Prisons,,2021-05-10,1382
Bureau of Prisons,,2021-05-11,1384
Bureau of Prisons,,2021-05-12,1327
Bureau of Prisons,,2021-05-13,1122
Bureau of Prisons,,2021-05-14,714
Bureau of Prisons,,2021-05-15,1307
CA,,2021-01-13,75188
CA,,2021-01-14,79496
CA,,2021-01-15,85553
CA,,2021-01-16,88381
CA,,2021-01-17,90079
CA,,2021-01-18,91210
CA,,2021-01-19,92018
CA,,2021-01-20,91549
CA,,2021-01-21,94083
CA,,2021-01-22,104389
CA,,2021-01-23,119770
CA,,2021-01-24,133316
CA,,2021-01-25,138153
CA,,2021-01-26,140878
CA,,2021-01-27,149620
CA,,2021-01-28,159000
CA,,2021-01-29,158126
CA,,2021-01-30,155366
CA,,2021-01-31,155063
CA,,2021-02-01,160379
CA,,2021-02-02,156749
CA,,2021-02-03,155950
CA,,2021-02-04,139561
CA,,2021-02-05,144296
CA,,2021-02-06,148831
CA,,2021-02-07,171402
CA,,2021-02-08,175654
CA,,2021-02-09,177237
CA,,2021-02-10,183712
CA,,2021-02-11,201580
CA,,2021-02-12,202925
CA,,2021-02-13,203565
CA,,2021-02-14,190746
CA,,2021-02-15,190404
CA,,2021-02-16,203788
CA,,2021-02-17,195102
CA,,2021-02-18,194468
CA,,2021-02-19,231928
CA,,2021-02-20,234166
CA,,2021-02-21,233297
CA,,2021-02-22,227005
CA,,2021-02-23,216733
CA,,2021-02-24,221857
CA,,2021-02-25,223997
CA,,2021-02-26,192335
CA,,2021-02-27,194965
CA,,2021-02-28,195368
CA,,2021-03-01,214479
CA,,2021-03-02,252715
CA,,2021-03-03,265023
CA,,2021-03-04,256584
CA,,2021-03-05,251504
CA,,2021-03-06,264079
CA,,2021-03-07,259101
CA,,2021-03-08,242771
CA,,2021-03-09,204065
CA,,2021-03-10,190191
CA,,2021-03-11,194328
CA,,2021-03-12,193794
CA,,2021-03-13,209548
CA,,2021-03-14,178375
CA,,2021-03-15,214448
CA,,2021-03-16,251553
CA,,2021-03-17,299789
CA,,2021-03-18,334655
CA,,2021-03-19,350707
CA,,2021-03-20,342038
CA,,2021-03-21,403543
CA,,2021-03-22,392009
CA,,2021-03-23,380370
CA,,2021-03-24,361552
CA,,2021-03-25,357025
CA,,2021-03-26,377779
CA,,2021-03-27,381256
CA,,2021-03-28,375263
CA,,2021-03-29,378982
CA,,2021-03-30,367579
CA,,2021-03-31,361646
CA,,2021-04-01,363128
CA,,2021-04-02,351209
CA,,2021-04-03,357814
CA,,2021-04-04,375343
CA,,2021-04-05,372228
CA,,2021-04-06,366223
CA,,2021-04-07,377497
CA,,2021-04-08,377051
CA,,2021-04-09,391393
CA,,2021-04-10,404572
CA,,2021-04-11,398820
CA,,2021-04-12,388844
CA,,2021-04-13,391650
CA,,2021-04-14,407905
CA,,2021-04-15,428384
CA,,2021-04-16,474575
CA,,2021-04-17,469733
CA,,2021-04-18,476835
CA,,2021-04-19,486322
CA,,2021-04-20,494575
CA,,2021-04-21,470327
CA,,2021-04-22,448969
CA,,2021-04-23,382776
CA,,2021-04-24,390331
CA,,2021-04-25,386663
CA,,2021-04-26,387965
CA,,2021-04-27,383386
CA,,2021-04-28,375225
CA,,2021-04-29,367495
CA,,2021-04-30,356625
CA,,2021-05-01,359825
CA,,2021-05-02,340912
CA,,2021-05-03,318725
CA,,2021-05-04,299430
CA,,2021-05-05,290114
CA,,2021-05-06,291408
CA,,2021-05-07,306331
CA,,2021-05-08,277007
CA,,2021-05-09,274950
CA,,2021-05-10,293713
CA,,2021-05-11,309119
CA,,2021-05-12,306629
CA,,2021-05-13,298328
CA,,2021-05-14,278877
CA,,2021-05-15,279347
CO,,2021-01-13,15237
CO,,2021-01-14,15139
CO,,2021-01-15,15935
CO,,2021-01-16,15580
CO,,2021-01-17,15367
CO,,2021-01-18,15225
CO,,2021-01-19,15123
CO,,2021-01-20,14396
CO,,2021-01-21,14070
CO,,2021-01-22,15007
CO,,2021-01-23,12934
CO,,2021-01-24,19033
CO,,2021-01-25,18872
CO,,2021-01-26,18208
CO,,2021-01-27,19156
CO,,2021-01-28,20359
CO,,2021-01-29,20657
CO,,2021-01-30,24010
CO,,2021-01-31,19248
CO,,2021-02-01,20272
CO,,2021-02-02,20514
CO,,2021-02-03,20371
CO,,2021-02-04,20460
CO,,2021-02-05,19975
CO,,2021-02-06,21358
CO,,2021-02-07,22952
CO,,2021-02-08,23168
CO,,2021-02-09,22316
CO,,2021-02-10,24274
CO,,2021-02-11,25169
CO,,2021-02-12,26131
CO,,2021-02-13,27246
CO,,2021-02-14,28130
CO,,2021-02-15,30249
CO,,2021-02-16,34720
CO,,2021-02-17,33875
CO,,2021-02-18,33990
CO,,2021-02-19,41118
CO,,2021-02-20,40331
CO,,2021-02-21,39336
CO,,2021-02-22,38285
CO,,2021-02-23,33267
CO,,2021-02-24,34876
CO,,2021-02-25,34456
CO,,2021-02-26,27248
CO,,2021-02-27,22403
